suite,method,bounded,lr,count,dice,condition,min_singular_value,max_singular_value,nonpositive_determinants,extreme_scale_runs,dice_change_from_rigid,dice_worse_than_rigid,seconds,loss_value,tre_mean_mm,tre_median_mm,tre_worse_than_rigid,tre_max_mm
brains_native_nr0,matrix,True,0.01,3,0.9608233343269089,1.0962885618209839,0.969428539276123,1.167392373085022,0,0,0.013304375471591356,0,2.7074843193404377,-0.23764225840568542,5.369519420498348,2.8698244773983532,0,7.998973303020792
brains_native_nr0,polar,True,0.01,3,0.9607954099130237,1.0898771286010742,0.9694472551345825,1.1540857553482056,0,0,0.01327645105770614,0,3.3649334216024727,-0.23770431180795035,5.366329632461023,2.869307959016793,0,7.996804494175706
brains_native_nr0,matrix,True,0.03,3,0.9607363453252242,1.0900744199752808,0.9695606827735901,1.1535788774490356,0,0,0.013217386469906592,0,2.691435849914948,-0.23763477305571237,5.36051665747677,2.8618649548159505,0,7.991947500319727
brains_native_nr0,polar,True,0.03,3,0.9608263063062866,1.0898403724034627,0.969455897808075,1.1538026332855225,0,0,0.013307347450968917,0,3.2197148273698986,-0.2376661573847135,5.370215851825857,2.881801839502005,0,7.995808836450433
brains_native_nr0,matrix,True,0.1,3,0.9621666216279604,1.1087595224380493,0.962682843208313,1.1738300323486328,0,0,0.014647662772642697,0,2.6848053528616824,-0.2141028270125389,5.379152828159952,2.7767801626633766,0,7.785545688597376
brains_native_nr0,polar,True,0.1,3,0.6486944543926251,1.3014529943466187,0.7500013709068298,1.3333317041397095,0,0,-0.29882450446269254,1,3.2503565396958343,-0.22782579064369202,5.362657072577097,2.7224495440025596,0,7.768436697280193
synthetic,identity,False,0.0,16,,1.0,1.0,1.0,0,0,,,,,10.086537529145536,9.739549137116615,16,14.113682621309854
synthetic,rigid,False,0.0,16,,1.0000000223517418,0.9999999403953552,1.0,0,0,,,0.7017798368615331,,3.503637996044571,3.2880163994811085,0,6.670042144635205
synthetic,matrix,False,0.001,16,,1.2464858368039131,0.7931441068649292,1.295629620552063,0,0,,,0.36474080751941074,1.0722909248528367e-05,0.10541607356250027,0.10235006236173527,0,0.8617735079343795
synthetic,polar,False,0.001,16,,1.2519279941916466,0.7892355918884277,1.2952684164047241,0,0,,,0.7993938793370035,3.2587653535642858e-06,0.027726861388362032,0.025344613248797908,0,0.14324472330903204
synthetic,matrix,False,0.003,16,,1.252560831606388,0.7887387871742249,1.2954299449920654,0,0,,,0.3630080857255962,3.1936420015199474e-06,0.01784737025258827,0.016472417288925064,0,0.04245393497764933
synthetic,polar,False,0.003,16,,1.2525711432099342,0.7886860966682434,1.2954955101013184,0,0,,,0.8016560428222874,3.1937155000605344e-06,0.017740664104647006,0.016437683412559044,0,0.04047878060991152
synthetic,matrix,False,0.01,16,,1.2525574713945389,0.7886080145835876,1.2953929901123047,0,0,,,0.36446448364586104,3.195749680884319e-06,0.018200462883781177,0.016746706951983242,0,0.04103613692084654
synthetic,polar,False,0.01,16,,1.2525655925273895,0.788696825504303,1.2953232526779175,0,0,,,0.7884324086189736,3.1960133952679826e-06,0.01784656257639866,0.016527962876336934,0,0.04425610979702101
synthetic,matrix,False,0.03,16,,1.252547062933445,0.7887156009674072,1.295357584953308,0,0,,,0.36341932576033287,3.226534246891788e-06,0.019121197697942415,0.01768149389709766,0,0.04193355788393777
synthetic,polar,False,0.03,16,,1.2526116892695427,0.7887146472930908,1.2956382036209106,0,0,,,0.7976517068018438,3.217391050469587e-06,0.019154161945457143,0.017483808083299197,0,0.0418028267622813
synthetic,matrix,False,0.1,16,,1.2525828257203102,0.7886993288993835,1.295082688331604,0,0,,,0.36307574159582146,3.7462971818058577e-06,0.041488408360177455,0.03814785506708733,0,0.06552538981901727
synthetic,polar,False,0.1,16,,1.2525037229061127,0.7884328365325928,1.2948030233383179,0,0,,,0.7881731972447596,3.5619223481830886e-06,0.036462930114493336,0.034227864551223244,0,0.06278875511758804
synthetic,matrix,True,0.001,16,,1.2464858368039131,0.7931441068649292,1.295629620552063,0,0,,,0.41793251677881926,1.0722909248528367e-05,0.10541607356250027,0.10235006236173527,0,0.8617735079343795
